val_loss,epoch,step,train_loss
7.11521053314209,0,257,
,0,257,7.285101413726807
6.763192176818848,1,515,
,1,515,6.933809280395508
6.412972927093506,2,773,
,2,773,6.5853729248046875
6.080549716949463,3,1031,
,3,1031,6.245204448699951
5.781366348266602,4,1289,
,4,1289,5.9320573806762695
5.516867637634277,5,1547,
,5,1547,5.656006813049316
5.279658317565918,6,1805,
,6,1805,5.407251834869385
5.068502426147461,7,2063,
,7,2063,5.187017440795898
4.8732008934021,8,2321,
,8,2321,4.986197471618652
4.6986775398254395,9,2579,
,9,2579,4.803867816925049
4.544077396392822,10,2837,
,10,2837,4.642648220062256
4.405850410461426,11,3095,
,11,3095,4.501669406890869
4.282693386077881,12,3353,
,12,3353,4.372250556945801
4.174460411071777,13,3611,
,13,3611,4.258057594299316
4.079990863800049,14,3869,
,14,3869,4.161165714263916
3.998281240463257,15,4127,
,15,4127,4.074621200561523
3.9282422065734863,16,4385,
,16,4385,4.00050687789917
3.8687825202941895,17,4643,
,17,4643,3.938833236694336
3.8195548057556152,18,4901,
,18,4901,3.886814832687378
3.779670238494873,19,5159,
,19,5159,3.8437235355377197
3.7472569942474365,20,5417,
,20,5417,3.811368227005005
3.722243070602417,21,5675,
,21,5675,3.784430742263794
3.7029166221618652,22,5933,
,22,5933,3.764906167984009
3.6883468627929688,23,6191,
,23,6191,3.7464089393615723
3.677076816558838,24,6449,
,24,6449,3.737481117248535
3.6682076454162598,25,6707,
,25,6707,3.7271668910980225
3.661393642425537,26,6965,
,26,6965,3.718975305557251
3.6554064750671387,27,7223,
,27,7223,3.715646743774414
3.6500155925750732,28,7481,
,28,7481,3.708746910095215
3.6449332237243652,29,7739,
,29,7739,3.7053401470184326
3.640014171600342,30,7997,
,30,7997,3.7022945880889893
3.6353790760040283,31,8255,
,31,8255,3.6952500343322754
3.6309425830841064,32,8513,
,32,8513,3.690094470977783
3.6266565322875977,33,8771,
,33,8771,3.686255693435669
3.622371196746826,34,9029,
,34,9029,3.684704065322876
3.6181156635284424,35,9287,
,35,9287,3.678246259689331
3.6137282848358154,36,9545,
,36,9545,3.672657012939453
3.6093552112579346,37,9803,
,37,9803,3.6681103706359863
3.6050729751586914,38,10061,
,38,10061,3.665989398956299
3.6007561683654785,39,10319,
,39,10319,3.659213066101074
3.596447467803955,40,10577,
,40,10577,3.6587181091308594
3.591977119445801,41,10835,
,41,10835,3.6505558490753174
3.5876717567443848,42,11093,
,42,11093,3.649188280105591
3.583324909210205,43,11351,
,43,11351,3.6423234939575195
3.5788910388946533,44,11609,
,44,11609,3.6390419006347656
3.5743391513824463,45,11867,
,45,11867,3.6338229179382324
3.5696349143981934,46,12125,
,46,12125,3.6292965412139893
3.56503963470459,47,12383,
,47,12383,3.6232781410217285
3.5603930950164795,48,12641,
,48,12641,3.620236396789551
3.555880546569824,49,12899,
,49,12899,3.614013433456421
3.551034450531006,50,13157,
,50,13157,3.613063335418701
3.5464093685150146,51,13415,
,51,13415,3.607039451599121
3.541614532470703,52,13673,
,52,13673,3.6009509563446045
3.536834955215454,53,13931,
,53,13931,3.59600567817688
3.5321271419525146,54,14189,
,54,14189,3.590609312057495
3.5274219512939453,55,14447,
,55,14447,3.586729049682617
3.5226476192474365,56,14705,
,56,14705,3.582977771759033
3.5180013179779053,57,14963,
,57,14963,3.578049659729004
3.513244867324829,58,15221,
,58,15221,3.571423292160034
3.5084831714630127,59,15479,
,59,15479,3.5676913261413574
3.5036208629608154,60,15737,
,60,15737,3.5639073848724365
3.4988129138946533,61,15995,
,61,15995,3.5574042797088623
3.493905544281006,62,16253,
,62,16253,3.5516204833984375
3.48909854888916,63,16511,
,63,16511,3.5486881732940674
3.484168767929077,64,16769,
,64,16769,3.544506549835205
3.479156732559204,65,17027,
,65,17027,3.539482593536377
3.4741790294647217,66,17285,
,66,17285,3.5372753143310547
3.4691994190216064,67,17543,
,67,17543,3.530339479446411
3.464137315750122,68,17801,
,68,17801,3.523430824279785
3.45894455909729,69,18059,
,69,18059,3.5178215503692627
3.4537601470947266,70,18317,
,70,18317,3.513277292251587
3.4485929012298584,71,18575,
,71,18575,3.5101850032806396
3.4432311058044434,72,18833,
,72,18833,3.5035595893859863
3.437880039215088,73,19091,
,73,19091,3.497828483581543
3.4324967861175537,74,19349,
,74,19349,3.4922232627868652
3.427201747894287,75,19607,
,75,19607,3.4873099327087402
3.4217841625213623,76,19865,
,76,19865,3.4811129570007324
3.4163625240325928,77,20123,
,77,20123,3.4768457412719727
3.410755157470703,78,20381,
