,Rep 1,Rep 2,Rep 3,Avg,St. Dev,SEM,
E1,0.100752198,0.14479965,0.050674447,0.098742099,0.047094785,0.027190187,a10
E2,1.426060684,1.533798591,1.369827413,1.443228896,0.083322851,0.04810647,a10
E3,0.801846293,0.900747238,0.87308446,0.858559331,0.051025325,0.029459485,a10
E4,1.269738431,1.137062954,1.162080834,1.189627406,0.070496849,0.040701375,a10
E5,0.780130008,0.811210779,0.79251128,0.794617356,0.015647052,0.00903383,a10
E6,1.747323957,1.696109018,1.584701672,1.676044882,0.083147033,0.048004962,a10
E7,1.049445219,0.984796719,0.789942978,0.941394972,0.135085666,0.077991746,a10
E8,0.874322572,0.882188836,0.86663857,0.874383326,0.007775311,0.004489078,a10
E9,-0.124711669,-0.007677427,-0.136102612,-0.089497236,0.071086561,0.041041845,a10
E10,1.095367899,0.881274425,0.650089195,0.875577173,0.222694017,0.12857245,a10
E11,1.280399131,0.977640174,0.992403226,1.083480844,0.170695916,0.098551333,a5
E12,1.39196331,1.125182184,0.93373068,1.150292058,0.230145965,0.132874835,a5
E13,1.595013208,0.886700726,0.605814443,1.029176126,0.509757765,0.294308783,a5
E14,1.191667748,1.258809224,1.156775119,1.202417364,0.051859477,0.029941083,a5
E15,1.493472627,1.569576354,1.607519338,1.556856106,0.058077677,0.033531163,a5
E16,0.950038016,0.839653299,0.642521375,0.810737563,0.15578418,0.089942038,a5
E17,0.97336702,0.987040749,0.986048192,0.982151987,0.007624173,0.004401819,a5
E18,1.22364616,1.051602987,0.877191049,1.050813399,0.173228905,0.100013755,a5
E19,1.028998603,0.804805207,0.692418733,0.842074181,0.171357038,0.098933032,a5
E20,1.164047042,0.826727582,0.73833242,0.909702348,0.224659395,0.129707162,a5
E31,0.394582703,0.398363536,0.317535972,0.370160737,0.045613574,0.026335009,p10
E32,0.29271984,0.410228231,0.33990387,0.347617314,0.059132719,0.034140291,p10
E33,0.546639502,0.269114936,0.051844114,0.289199517,0.248008391,0.143187711,p10
E34,0.458147712,0.503419998,0.492711759,0.484759823,0.023660514,0.013660404,p10
E35,0.210243848,0.220625956,0.092786284,0.174552029,0.071001232,0.04099258,p10
E36,0.404349614,0.389549922,0.272323228,0.355407588,0.072332675,0.041761289,p10
E37,0.455837551,0.499670479,0.413991138,0.456499723,0.042843509,0.024735711,p10
E38,0.362949232,0.241888453,0.15800156,0.254279748,0.103034194,0.05948682,p10
E39,0.551695399,0.556293903,0.531482065,0.546490456,0.013199447,0.007620704,p10
E40,0.258839413,0.244423444,0.113799383,0.205687413,0.079903146,0.046132103,p10
E41,0.550805342,0.473330759,0.371537342,0.465224481,0.089908497,0.051908695,p5
E42,0.605663464,0.562535167,0.400924784,0.523041138,0.107931994,0.062314566,p5
E43,0.556650302,0.601072609,0.496606776,0.551443229,0.052427214,0.030268866,p5
E44,0.76847381,0.86746083,0.758307964,0.798080868,0.060299423,0.034813888,p5
E45,0.441247267,0.454700373,0.30647747,0.40080837,0.081969418,0.047325066,p5
E46,0.536613047,0.530330595,0.414285408,0.493743017,0.068883968,0.039770177,p5
E47,0.588284024,0.331750699,0.230252631,0.383429118,0.184525375,0.106535775,p5
E48,0.211934934,0.193169861,0.041564885,0.148889893,0.093418548,0.053935224,p5
E49,0.381450359,0.328490537,0.322414362,0.344118419,0.032472839,0.018748202,p5
E50,0.61663671,0.65290919,0.644859373,0.638135091,0.019048233,0.010997502,p5
V6,0.974579882,0.926555749,1.004158651,0.968431428,0.039165102,0.022611982,va
V7,1.146273232,1.152746762,1.195969839,1.164996611,0.027018185,0.015598956,va
V8,1.285698031,1.293140194,1.310006319,1.296281515,0.012454884,0.007190831,va
V9,0.736108805,0.680332158,0.609672921,0.675371294,0.063363758,0.036583083,va
V10,0.315388472,0.348471966,0.344577876,0.336146104,0.018081772,0.010439516,va
V11,0.878338657,0.829902861,0.827155596,0.845132371,0.028790275,0.016622073,va
V12,0.999119626,0.986865016,1.010314371,0.998766338,0.011728669,0.00677155,va
V13,0.165138924,0.240091852,0.19333428,0.199521685,0.037857606,0.021857099,va
V14,0.911252066,0.87339162,0.920607194,0.901750293,0.025000807,0.014434223,va
V15,0.909587933,0.861581091,0.900253786,0.89047427,0.025453751,0.01469573,va
V26,0.188084536,0.237096112,0.155756335,0.193645661,0.040954052,0.023644833,vp
V27,0.411751726,0.4421498,0.361423365,0.405108297,0.040771199,0.023539263,vp
V28,0.558645222,0.576922026,0.37632764,0.503964963,0.110914268,0.064036383,vp
V29,0.254267704,0.325808618,0.194106749,0.258061024,0.065932826,0.038066335,vp
V30,0.816857485,0.748430346,0.632451302,0.732579711,0.093219322,0.053820201,vp
V31,0.655507816,0.679551768,0.551377988,0.628812524,0.068129351,0.039334499,vp
V32,1.371477718,1.283303157,1.186882268,1.280554381,0.092328418,0.053305837,vp
V33,0.486432648,0.594666424,0.409834106,0.496977726,0.092866278,0.05361637,vp
V34,0.533819148,0.528480208,0.443519043,0.501939467,0.050663946,0.029250843,vp
V35,0.632339096,0.683216746,0.617232446,0.644262763,0.034570397,0.019959228,vp
WT,1,1,,1,0,0,
