val_ce_loss,val_kl_divergence,epoch,step,train_ce_loss
7444.673828125,264542.375,0,6850,
,56828.25,0,6850,5756.70458984375
5606.49267578125,222775.75,1,13701,
,84466.2265625,1,13701,4443.564453125
4070.984130859375,200538.1875,2,20552,
,97965.75,2,20552,3473.33056640625
3078.427490234375,181488.171875,3,27403,
,129816.640625,3,27403,2536.454345703125
2743.23583984375,138957.140625,4,34254,
,123624.1875,4,34254,2131.36376953125
2506.133544921875,105416.5625,5,41105,
,104663.09375,5,41105,1944.795654296875
2510.784912109375,77245.3125,6,47956,
,83341.6640625,6,47956,1843.837158203125
2334.210205078125,61221.49609375,7,54807,
,66166.515625,7,54807,1779.7708740234375
2295.710693359375,51271.875,8,61658,
,53485.78515625,8,61658,1732.6834716796875
2867.65966796875,42656.28515625,9,68509,
,44222.734375,9,68509,1696.6180419921875
2078.881591796875,35610.83203125,10,75360,
,37185.328125,10,75360,1668.347900390625
2179.620361328125,31279.7421875,11,82211,
,31901.400390625,11,82211,1641.729736328125
1994.659912109375,26954.326171875,12,89062,
,27736.634765625,12,89062,1621.9444580078125
2059.0107421875,22536.486328125,13,95913,
,24448.53125,13,95913,1605.30224609375
1968.42822265625,21154.4296875,14,102764,
,21896.22265625,14,102764,1586.43212890625
2049.486328125,18910.431640625,15,109615,
,19833.962890625,15,109615,1575.833984375
1936.2200927734373,17722.630859375,16,116466,
,18230.44140625,16,116466,1558.8631591796875
2003.95556640625,16277.5400390625,17,123317,
,16852.857421875,17,123317,1549.9183349609375
2368.557861328125,14318.41796875,18,130168,
,15742.6708984375,18,130168,1539.882568359375
1991.6319580078125,13955.0517578125,19,137019,
,14824.23046875,19,137019,1527.817626953125
1914.0919189453125,12779.33984375,20,143870,
,14013.283203125,20,143870,1519.12841796875
1839.4700927734373,12527.5126953125,21,150721,
,13357.55078125,21,150721,1506.70849609375
1829.0528564453125,11797.943359375,22,157572,
,12778.689453125,22,157572,1502.2427978515625
1923.45654296875,11263.892578125,23,164423,
,12299.2421875,23,164423,1494.9541015625
1831.3638916015625,11261.013671875,24,171274,
,11862.8193359375,24,171274,1484.3360595703125
1882.223388671875,10776.9013671875,25,178125,
,11500.5400390625,25,178125,1478.916015625
1848.57666015625,10382.6767578125,26,184976,
,11152.86328125,26,184976,1472.18115234375
1835.5948486328125,10274.890625,27,191827,
,10863.515625,27,191827,1464.822021484375
1830.087158203125,9803.255859375,28,198678,
,10607.6904296875,28,198678,1459.337646484375
1770.251953125,9589.9609375,29,205529,
,10378.5947265625,29,205529,1452.7657470703125
2023.568115234375,9710.03515625,30,212380,
,10156.0244140625,30,212380,1446.6942138671875
1819.86572265625,9118.54296875,31,219231,
,9969.8505859375,31,219231,1443.33935546875
1866.7025146484373,8825.8583984375,32,226082,
,9813.7587890625,32,226082,1439.8126220703125
1825.1824951171875,8910.33203125,33,232933,
,9654.5283203125,33,232933,1431.1846923828125
1795.6470947265625,8847.0849609375,34,239784,
,9528.234375,34,239784,1426.6131591796875
2166.93310546875,8695.4931640625,35,246635,
,9396.6298828125,35,246635,1423.825439453125
1817.611328125,8486.8779296875,36,253486,
,9282.810546875,36,253486,1417.1309814453125
3102.064453125,8697.5771484375,37,260337,
,9183.0185546875,37,260337,1415.58349609375
