val_loss,epoch,step,train_loss
7.065282344818115,0,257,
,0,257,7.232665538787842
6.719511985778809,1,515,
,1,515,6.8898115158081055
6.368251800537109,2,773,
,2,773,6.5417561531066895
6.042651176452637,3,1031,
,3,1031,6.204217433929443
5.751852989196777,4,1289,
,4,1289,5.899140357971191
5.494900226593018,5,1547,
,5,1547,5.629445552825928
5.266754150390625,6,1805,
,6,1805,5.390440464019775
5.062460422515869,7,2063,
,7,2063,5.177899360656738
4.878046989440918,8,2321,
,8,2321,4.9859819412231445
4.7121262550354,9,2579,
,9,2579,4.814741611480713
4.562788963317871,10,2837,
,10,2837,4.6586079597473145
4.427490234375,11,3095,
,11,3095,4.519990921020508
4.306540489196777,12,3353,
,12,3353,4.394238471984863
4.198566436767578,13,3611,
,13,3611,4.281191349029541
4.103331565856934,14,3869,
,14,3869,4.182886600494385
4.019598960876465,15,4127,
,15,4127,4.096980571746826
3.9459500312805176,16,4385,
,16,4385,4.019717216491699
3.8832828998565674,17,4643,
,17,4643,3.9552161693573
3.830512046813965,18,4901,
,18,4901,3.8984129428863525
3.787198066711426,19,5159,
,19,5159,3.8533828258514404
3.7528674602508545,20,5417,
,20,5417,3.8152616024017334
3.725855588912964,21,5675,
,21,5675,3.788519859313965
3.705509662628174,22,5933,
,22,5933,3.7660717964172363
3.6900064945220947,23,6191,
,23,6191,3.7493391036987305
3.6784279346466064,24,6449,
,24,6449,3.7368335723876953
3.669487953186035,25,6707,
,25,6707,3.728142023086548
3.6624627113342285,26,6965,
,26,6965,3.7201626300811768
3.6566081047058105,27,7223,
,27,7223,3.7165281772613525
3.6515426635742188,28,7481,
,28,7481,3.7115731239318848
3.6469008922576904,29,7739,
,29,7739,3.7075886726379395
3.6424193382263184,30,7997,
,30,7997,3.702151298522949
3.6380178928375244,31,8255,
,31,8255,3.698685884475708
3.633720874786377,32,8513,
,32,8513,3.6935548782348633
3.6295676231384277,33,8771,
,33,8771,3.6891276836395264
3.6253228187561035,34,9029,
,34,9029,3.6870601177215576
3.621142625808716,35,9287,
,35,9287,3.6831607818603516
3.616960048675537,36,9545,
,36,9545,3.6790664196014404
3.6127164363861084,37,9803,
,37,9803,3.6747355461120605
3.608503818511963,38,10061,
,38,10061,3.6688170433044434
3.604306936264038,39,10319,
,39,10319,3.6635591983795166
3.6000797748565674,40,10577,
,40,10577,3.6608240604400635
3.5959696769714355,41,10835,
,41,10835,3.6546590328216553
3.591764211654663,42,11093,
,42,11093,3.6526076793670654
3.587481737136841,43,11351,
,43,11351,3.6473724842071533
3.583310842514038,44,11609,
,44,11609,3.6428382396698
3.5792176723480225,45,11867,
,45,11867,3.6394052505493164
3.575021266937256,46,12125,
,46,12125,3.636035203933716
3.5707898139953613,47,12383,
,47,12383,3.6303083896636963
3.566506862640381,48,12641,
,48,12641,3.6275787353515625
3.5621719360351562,49,12899,
,49,12899,3.621155023574829
3.5579023361206055,50,13157,
,50,13157,3.619410276412964
3.553438663482666,51,13415,
,51,13415,3.613574504852295
3.549133777618408,52,13673,
,52,13673,3.6096231937408447
3.544896125793457,53,13931,
,53,13931,3.606546640396118
